name,season,team_abbr,gs,ip,era,whip,k_per_9,k_per_9,bb_per_9,hr_per_9,fip_proxy
Kolby Allard,2021,TEX,17,124.2,5.41,1.275,7.5,7.536231884057971,2.246376811594203,2.101449275362319,5.309500805152979
Mike Foltynewicz,2021,TEX,24,139.0,5.44,1.259,6.3,6.280575539568345,2.3309352517985613,2.2661870503597124,5.854676258992805
Erick Fedde,2021,WSN,27,133.1,5.47,1.44,8.6,8.655146506386176,3.245679939894816,1.555221637866266,4.604958677685951
Wil Crowe,2021,PIT,25,116.2,5.48,1.569,8.6,8.59724612736661,4.414802065404475,1.93631669535284,5.558003442340792
Josiah Gray,2021,WSN,13,70.2,5.48,1.358,9.7,9.743589743589743,4.230769230769231,2.4358974358974357,5.963532763532763
Sam Long,2021,SFG,5,40.2,5.53,1.279,8.4,8.507462686567163,3.3582089552238803,1.1194029850746268,4.045771144278607
David Peterson,2021,NYY,15,66.2,5.54,1.395,9.3,9.380664652567974,3.942598187311178,1.4954682779456194,4.589728096676737
Griffin Canning,2021,LAD,13,62.2,5.6,1.484,8.9,8.971061093247588,4.051446945337621,2.0257234726688105,5.482958199356913
Anthony Kay,2021,TOR,5,33.2,5.61,1.663,10.4,10.572289156626505,4.879518072289156,1.897590361445783,5.218072289156627
Daniel Lynch IV,2021,KCR,15,68.0,5.69,1.632,7.3,7.279411764705882,4.102941176470588,1.1911764705882353,4.670588235294118
Chase De Jong,2021,PIT,9,43.2,5.77,1.557,8.0,8.125,3.958333333333333,2.2916666666666665,6.024074074074074
Zach Davies,2021,CHC,32,148.0,5.78,1.601,6.9,6.9324324324324325,4.560810810810811,1.5202702702702702,5.3756756756756765
J.A. Happ,2021,STL,30,152.1,5.79,1.477,7.2,7.218934911242604,2.8402366863905324,1.775147928994083,5.10664036817883
Matt Manning,2021,DET,18,85.1,5.8,1.512,6.0,6.028202115158638,3.4900117508813167,1.0575793184488838,4.551351351351352
Edward Cabrera,2021,MIA,7,26.1,5.81,1.633,9.6,9.655172413793103,6.551724137931034,2.0689655172413794,6.2268199233716475
