team_abbr,season,team_avg_starter_era,team_avg_starter_whip,team_avg_starter_k_per_9,team_avg_starter_k_per_9,team_avg_starter_bb_per_9,team_avg_starter_hr_per_9,team_avg_starter_fip_proxy
HOU,2025,4.462999999999999,1.2757,8.58,8.602148685531887,3.2235851609765334,1.435018813882688,4.4357447435934185
KCR,2021,5.354444444444444,1.4936666666666667,8.488888888888889,8.497298707028591,3.876347459682435,1.3024639411176477,4.4851640221688385
KCR,2022,5.054285714285714,1.5124285714285715,6.8428571428571425,6.847746791633658,3.5040598263942013,1.2203673433352953,4.60905126214157
KCR,2023,5.293333333333333,1.4506666666666668,7.0,7.0234455281440065,3.83219602789749,1.4652583068689848,5.033117224077918
KCR,2024,3.54,1.1962,8.72,8.709496796885421,2.6812731897414066,0.9495049220471952,3.529821106896324
KCR,2025,3.81,1.2173333333333334,8.85,8.877825343677893,2.8359903170528766,1.119959114142505,3.79019874973949
LAD,2021,4.082941176470588,1.2719411764705884,9.264705882352942,9.297159893957557,3.3542113529158035,1.275378929497607,4.094248928255688
LAD,2022,3.723125,1.227375,8.8,8.830755648742857,3.2926963396581628,1.1452387858926723,3.9894091042326125
LAD,2023,4.7295,1.3183,8.629999999999999,8.637464335984776,3.2823223268448274,1.5066587498378143,4.550955784050724
LAD,2024,4.663157894736842,1.3244736842105262,8.094736842105263,8.118785641108284,3.115453040748267,1.3827092058917176,4.431556390735619
LAD,2025,4.27,1.3052777777777778,8.68888888888889,8.7101819248587,3.7467516039483035,1.254988621357496,4.326082559974996
MIA,2021,4.076666666666666,1.3535555555555556,8.822222222222223,8.870551123509209,3.9901184016409093,1.2525351018703743,4.368023253579909
MIA,2022,3.9749999999999996,1.233875,8.6,8.632895129228144,2.9586612789571594,1.2572925408728377,4.083888512195787
MIA,2023,4.24375,1.2582499999999999,8.6125,8.633175887366342,3.1937747803628,1.3728104172299034,4.3290564433716066
MIA,2024,5.260714285714286,1.4489285714285713,7.185714285714285,7.215935315736352,3.404678005824276,1.5855103556091197,5.021533112102076
MIA,2025,5.076363636363637,1.345,7.845454545454545,7.86306795705946,2.8793983253995155,1.4109614117801552,4.450506379469072
MIL,2021,3.09,1.1108333333333333,9.333333333333334,9.334777667717583,2.890285354965705,0.8687139203447017,3.343842410438119
MIL,2022,4.105,1.296,8.625,8.646904482219213,3.3538358450328927,1.1017125147804254,3.987773473645087
MIL,2023,4.0649999999999995,1.192,8.3375,8.378745853876367,2.8442130545514406,1.5570719110381035,4.5352313665996595
MIL,2024,3.82,1.2852727272727273,7.790909090909091,7.818847166502746,3.0296210636248584,1.1561847907560117,4.142396793077471
